confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,ComputerArchitecture,0.238,Memory as a Programming Concept in C and C++,"Memory as a Programming Concept in C and C++ (Frantisek Franek) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Memory as a Programming Concept in C and C++ (Frantisek Franek) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:computer architecture
0.350,ComputerArchitecture,0.238,My transcript,My transcript.pdf,/Users/longtran/Documents/E-Books/My transcript.pdf,body:computer architecture
0.350,ComputerArchitecture,0.238,My transcript (1),My transcript (1).pdf,/Users/longtran/Documents/E-Books/My transcript (1).pdf,body:computer architecture
0.350,ComputerArchitecture,0.238,"Peter Pacheco, Matthew Malensek - An Introduction to Parallel Programming (2020, Morgan Kaufmann) - libgen.li","Peter Pacheco, Matthew Malensek - An Introduction to Parallel Programming (2020, Morgan Kaufmann) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Peter Pacheco, Matthew Malensek - An Introduction to Parallel Programming (2020, Morgan Kaufmann) - libgen.li.pdf",body:cache coherence
0.350,ComputerArchitecture,0.238,"PROGRAMMING IN PARALLEL WITH CUDA PROGRAMMING IN PARALLEL -- Richard E_ Ansorge -- First edition, Cambridge, United Kingdom ; New York, NY, -- 9781108479530 -- 15628dd8a4a76b508cb821bd7ac2e1bd -- Anna’s Archive","PROGRAMMING IN PARALLEL WITH CUDA PROGRAMMING IN PARALLEL -- Richard E_ Ansorge -- First edition, Cambridge, United Kingdom ; New York, NY, -- 9781108479530 -- 15628dd8a4a76b508cb821bd7ac2e1bd -- Anna’s Archive.pdf","/Users/longtran/Documents/E-Books/PROGRAMMING IN PARALLEL WITH CUDA PROGRAMMING IN PARALLEL -- Richard E_ Ansorge -- First edition, Cambridge, United Kingdom ; New York, NY, -- 9781108479530 -- 15628dd8a4a76b508cb821bd7ac2e1bd -- Anna’s Archive.pdf",body:instruction set
0.350,ComputerArchitecture,0.238,Tran phan phuc Long,My-IELTS-and-Academic-Transcript.pdf,/Users/longtran/Documents/E-Books/My-IELTS-and-Academic-Transcript.pdf,body:computer architecture
0.350,ComputerArchitecture,0.238,Transcript_record,Transcript_record.pdf,/Users/longtran/Documents/E-Books/Transcript_record.pdf,body:computer architecture
0.350,ComputerArchitecture,0.275,Efficient Go,"Efficient Go Data-Driven Performance Optimization (Bartlomiej Plotka) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Efficient Go Data-Driven Performance Optimization (Bartlomiej Plotka) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:computer architecture; body:pipelining
0.350,ComputerArchitecture,0.288,0132180146.pdf,"CUDA by Example An Introduction to General-Purpose GPU Programming (Jason Sanders,Edward Kandrot) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/CUDA by Example An Introduction to General-Purpose GPU Programming (Jason Sanders,Edward Kandrot) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:computer architecture
0.350,ComputerArchitecture,0.288,An Introduction to Parallel Programming,"An Introduction to Parallel Programming, second edition -- Pacheco, Peter, Malensek PhD  Computer Science  Colorado -- 2, 2020 -- Morgan Kaufmann -- 9780128046050 -- d9a2663d4b235ed46970ad3909a48ac3 -- Anna’s Archive.pdf","/Users/longtran/Documents/E-Books/An Introduction to Parallel Programming, second edition -- Pacheco, Peter, Malensek PhD  Computer Science  Colorado -- 2, 2020 -- Morgan Kaufmann -- 9780128046050 -- d9a2663d4b235ed46970ad3909a48ac3 -- Anna’s Archive.pdf",body:cache coherence
0.350,ComputerArchitecture,0.288,"Introduction to Computer Organization ARM Edition (Robert G. Plantz) (z-library.sk, 1lib.sk, z-lib.sk)","Introduction to Computer Organization ARM Edition (Robert G. Plantz) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Introduction to Computer Organization ARM Edition (Robert G. Plantz) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:assembly language
0.350,ComputerArchitecture,0.325,Foster-Designing and Building Parallel Programs,Foster_Designing_and_Building_Parallel_Programs.pdf,/Users/longtran/Documents/E-Books/Foster_Designing_and_Building_Parallel_Programs.pdf,body:computer architecture; body:pipelining
0.350,ComputerArchitecture,0.325,parrel_computing_book_openmp_and_mpi,parrel_computing_book_openmp_and_mpi.pdf,/Users/longtran/Documents/E-Books/parrel_computing_book_openmp_and_mpi.pdf,body:cache coherence; body:pipelining
0.350,ComputerArchitecture,0.325,"The Elements of Computing Systems Building a Modern Computer from First Principles (Noam NisanShimon Schocken) (z-library.sk, 1lib.sk, z-lib.sk)","The Elements of Computing Systems Building a Modern Computer from First Principles (Noam NisanShimon Schocken) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/The Elements of Computing Systems Building a Modern Computer from First Principles (Noam NisanShimon Schocken) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:computer architecture; body:instruction set
