confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Databases,0.238,Building Real-Time Analytics Systems,"Building Real-Time Analytics Systems From Events to Insights with Apache Kafka and Apache Pinot (Mark Needham) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Building Real-Time Analytics Systems From Events to Insights with Apache Kafka and Apache Pinot (Mark Needham) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:neo4j
0.350,Databases,0.238,Building Real-Time Analytics Systems,"Mark Needham - Building Real-Time Analytics Systems_ From Events to Insights with Apache Kafka and Apache Pinot (2023, O’Reilly Media) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Mark Needham - Building Real-Time Analytics Systems_ From Events to Insights with Apache Kafka and Apache Pinot (2023, O’Reilly Media) - libgen.li.pdf",body:neo4j
0.350,Databases,0.238,Microsoft Azure Architect Technologies and Design Complete Study Guide Exams AZ-303 and AZ-304 by Benjamin Perkins William Panek (z-lib.org),Microsoft Azure Architect Technologies and Design Complete Study Guide Exams AZ-303 and AZ-304 by Benjamin Perkins William Panek (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Microsoft Azure Architect Technologies and Design Complete Study Guide Exams AZ-303 and AZ-304 by Benjamin Perkins William Panek (z-lib.org).pdf,body:sql
0.350,Databases,0.238,System Design Interview Fundamentals,"Liu, Rylan - System Design Interview Fundamentals (2021).pdf","/Users/longtran/Documents/E-Books/Liu, Rylan - System Design Interview Fundamentals (2021).pdf",body:database
0.350,Databases,0.288,Cloud Application Architecture Patterns (for True Epub),"Kyle Brown, Bobby Woolf, Joseph Yoder - Cloud Application Architecture Patterns (2025, O’Reilly Media, Inc.) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Kyle Brown, Bobby Woolf, Joseph Yoder - Cloud Application Architecture Patterns (2025, O’Reilly Media, Inc.) - libgen.li.pdf",body:database
0.350,Databases,0.288,Network Warrior,"Network Warrior (Gary A. Donahue) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Network Warrior (Gary A. Donahue) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:database
0.350,Databases,0.288,"NextJS 13 and React Crash Course Build a Full Stack NextJS 13 App with React, Tailwind and Prisma backend (Lim, Greg) (Z-Library)","NextJS 13 and React Crash Course Build a Full Stack NextJS 13 App with React, Tailwind and Prisma backend (Lim, Greg) (Z-Library).pdf","/Users/longtran/Documents/E-Books/NextJS 13 and React Crash Course Build a Full Stack NextJS 13 App with React, Tailwind and Prisma backend (Lim, Greg) (Z-Library).pdf",body:database
0.350,Databases,0.288,"Practical Enterprise Data Lake Insights (Saurabh Gupta, Venkata Giri) (z-lib.org)","Practical Enterprise Data Lake Insights (Saurabh Gupta, Venkata Giri) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Practical Enterprise Data Lake Insights (Saurabh Gupta, Venkata Giri) (z-lib.org).pdf",body:sql
0.350,Databases,0.288,Practical Microservices: Build Event-Driven Architectures with Event Sourcing and CQRS,Practical Microservices Build Event-Driven Architectures with Event Sourcing and CQRS by Ethan Garofolo (z-lib.org).epub.pdf,/Users/longtran/Documents/E-Books/Practical Microservices Build Event-Driven Architectures with Event Sourcing and CQRS by Ethan Garofolo (z-lib.org).epub.pdf,body:database
0.350,Databases,0.288,Spring Batch in Action,"Arnaud Cogoluegnes, Thierry Templier, Gary Gregory, Olivier Bazoud - Spring Batch in Action-Manning Publications (2011).pdf","/Users/longtran/Documents/E-Books/Arnaud Cogoluegnes, Thierry Templier, Gary Gregory, Olivier Bazoud - Spring Batch in Action-Manning Publications (2011).pdf",body:database
0.350,Databases,0.288,System Design - Karan Pratap Singh,"System Design (Karan Pratar Singh) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/System Design (Karan Pratar Singh) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:nosql
0.350,Databases,0.288,System Design - Karan Pratap Singh,System Design Learn how to design systems at scale and prepare for system design interviews (Karan Pratap Singh) (Z-Library).pdf,/Users/longtran/Documents/E-Books/System Design Learn how to design systems at scale and prepare for system design interviews (Karan Pratap Singh) (Z-Library).pdf,body:nosql
0.350,Databases,0.288,System Design on AWS (for True Epub),"System Design on AWS (Jayanth Kumar, Mandeep Singh) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/System Design on AWS (Jayanth Kumar, Mandeep Singh) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:database
0.350,Databases,0.288,The Comprehensive LaTeX Symbol List,latex-symbols.pdf,/Users/longtran/Documents/E-Books/latex-symbols.pdf,body:database
0.350,Databases,0.325,Amazon Web Services in Action,amazon-web-services-in-action-an-in-depth-guide-to--annas-archive--libgenrs-nf-3671229.pdf,/Users/longtran/Documents/E-Books/amazon-web-services-in-action-an-in-depth-guide-to--annas-archive--libgenrs-nf-3671229.pdf,body:database; body:nosql
0.350,Databases,0.325,Fundamentals of Data Engineering,Fundamentals of Data Engineering (Third Early Release) (Joe Reis  Matt Housley) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Fundamentals of Data Engineering (Third Early Release) (Joe Reis  Matt Housley) (z-lib.org).pdf,body:database; body:sql
0.350,Databases,0.325,"Gary Hutson, Matt Jackson - Graph Data Modeling in Python_ A practical guide to curating, analyzing, and modeling data with graphs (2023, Packt Publishing) - libgen.li","Gary Hutson, Matt Jackson - Graph Data Modeling in Python_ A practical guide to curating, analyzing, and modeling data with graphs (2023, Packt Publishing) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Gary Hutson, Matt Jackson - Graph Data Modeling in Python_ A practical guide to curating, analyzing, and modeling data with graphs (2023, Packt Publishing) - libgen.li.pdf",body:database; body:sql
0.350,Databases,0.325,Get Interview Ready | TechnicalInterviews.dev,De-Coding the Technical Interview Process.pdf,/Users/longtran/Documents/E-Books/De-Coding the Technical Interview Process.pdf,body:nosql; body:sql
0.350,Databases,0.325,"Mastering Azure Analytics : Architecting in the Cloud with Azure Data Lake, HDInsight, and Spark","Mastering Azure Analytics Architecting in the Cloud with Azure Data Lake, HDInsight, and Spark (Zoiner Tejada) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Mastering Azure Analytics Architecting in the Cloud with Azure Data Lake, HDInsight, and Spark (Zoiner Tejada) (z-lib.org).pdf",body:database; body:sql
0.350,Databases,0.325,Microsoft Azure Essentials - Fundamentals of Azure,"Microsoft Azure Essentials Fundamentals of Azure (Collier M.S., Shahan R.E.) (z-lib.org) (1).pdf","/Users/longtran/Documents/E-Books/Microsoft Azure Essentials Fundamentals of Azure (Collier M.S., Shahan R.E.) (z-lib.org) (1).pdf",body:database; body:sql
0.350,Databases,0.325,Microsoft Azure Essentials - Fundamentals of Azure,"Microsoft Azure Essentials Fundamentals of Azure (Collier M.S., Shahan R.E.) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Microsoft Azure Essentials Fundamentals of Azure (Collier M.S., Shahan R.E.) (z-lib.org).pdf",body:database; body:sql
0.350,Databases,0.325,Official Google Cloud Certified Professional Data Engineer Study Guide by Dan Sullivan (z-lib.org),Official Google Cloud Certified Professional Data Engineer Study Guide by Dan Sullivan (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Official Google Cloud Certified Professional Data Engineer Study Guide by Dan Sullivan (z-lib.org).pdf,body:database; body:nosql
0.350,Databases,0.325,Practical Data Science. A Guide to building the Technology Stack for Turning Data Lakes into Business Assets (Andreas François Vermeulen) (z-lib.org),Practical Data Science. A Guide to building the Technology Stack for Turning Data Lakes into Business Assets (Andreas François Vermeulen) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Practical Data Science. A Guide to building the Technology Stack for Turning Data Lakes into Business Assets (Andreas François Vermeulen) (z-lib.org).pdf,body:postgresql; body:sql
