confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,DeepLearning,0.238,Arduino ZERO to HERO: 30+ Arduino Projects Learn by doing practical project book for beginners and inventors.,Arsath Natheem S - Arduino ZERO to HERO_ 30+ Arduino Projects Learn by doing practical project book for beginners and inventors (2021) - libgen.li.pdf,/Users/longtran/Documents/E-Books/Arsath Natheem S - Arduino ZERO to HERO_ 30+ Arduino Projects Learn by doing practical project book for beginners and inventors (2021) - libgen.li.pdf,body:transformer
0.350,DeepLearning,0.238,Build a Text-to-Image Generator (from Scratch),"Build a Text-to-Image Generator (from Scratch) With transformers and diffusions (Mark Liu) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Build a Text-to-Image Generator (from Scratch) With transformers and diffusions (Mark Liu) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:transformer
0.350,DeepLearning,0.238,Build a Text-to-Image Generator (from Scratch),"Mark Liu - Build a Text-to-Image Generator (from Scratch)_ With transformers and diffusions (2025, Manning Publications) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Mark Liu - Build a Text-to-Image Generator (from Scratch)_ With transformers and diffusions (2025, Manning Publications) - libgen.li.pdf",body:transformer
0.350,DeepLearning,0.238,Building Data Streaming Applications with Apache Kafka,"Kumar, Manish_ Singh, Chanchal - Building Data Streaming Applications with Apache Kafka.-Packt Publishing (2017).pdf","/Users/longtran/Documents/E-Books/Kumar, Manish_ Singh, Chanchal - Building Data Streaming Applications with Apache Kafka.-Packt Publishing (2017).pdf",body:deep learning
0.350,DeepLearning,0.238,"Data Lake Analytics on Microsoft Azure A Practitioners Guide to Big Data Engineering by Harsh Chawla, Pankaj Khattar (z-lib.org)","Data Lake Analytics on Microsoft Azure A Practitioners Guide to Big Data Engineering by Harsh Chawla, Pankaj Khattar (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Data Lake Analytics on Microsoft Azure A Practitioners Guide to Big Data Engineering by Harsh Chawla, Pankaj Khattar (z-lib.org).pdf",body:deep learning
0.350,DeepLearning,0.238,deepseek_tech_report,deepseek_tech_report.pdf,/Users/longtran/Documents/E-Books/deepseek_tech_report.pdf,body:transformer
0.350,DeepLearning,0.238,"Graph Neural Networks in Action (Keita Broadwater, Namid Stillman) (z-library.sk, 1lib.sk, z-lib.sk)","Graph Neural Networks in Action (Keita Broadwater, Namid Stillman) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Graph Neural Networks in Action (Keita Broadwater, Namid Stillman) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:convolutional
0.350,DeepLearning,0.238,Knowledge Graphs,"Mayank Kejriwal - Knowledge Graphs (2021, MIT Press) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Mayank Kejriwal - Knowledge Graphs (2021, MIT Press) - libgen.li.pdf",body:deep learning
0.350,DeepLearning,0.238,Python Data Cleaning Cookbook Modern techniques and Python tools to detect and remove dirty data and extract key insights by Michael Walker (z-lib.org),Python Data Cleaning Cookbook Modern techniques and Python tools to detect and remove dirty data and extract key insights by Michael Walker (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Python Data Cleaning Cookbook Modern techniques and Python tools to detect and remove dirty data and extract key insights by Michael Walker (z-lib.org).pdf,body:deep learning
0.350,DeepLearning,0.238,"Recommender Systems Handbook (Francesco Ricci Lior Rokach Bracha Shapira) (z-library.sk, 1lib.sk, z-lib.sk)","Recommender Systems Handbook (Francesco Ricci Lior Rokach Bracha Shapira) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Recommender Systems Handbook (Francesco Ricci Lior Rokach Bracha Shapira) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning
