confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,DistributedSystems,0.238,Hands-On Smart Contract Development with Solidity and Ethereum,"Hands-On Smart Contract Development with Solidity and Ethereum From Fundamentals to Deployment (Kevin Solorio, Randall Kanna, David H. Hoover) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Hands-On Smart Contract Development with Solidity and Ethereum From Fundamentals to Deployment (Kevin Solorio, Randall Kanna, David H. Hoover) (z-lib.org).pdf",body:consensus
0.350,DistributedSystems,0.238,Site Reliability Engineering,"Site Reliability Engineering How Google Runs Production Systems (Betsy Beyer, Chris Jones, Jennifer Petoff etc.) (Z-Library).pdf","/Users/longtran/Documents/E-Books/Site Reliability Engineering How Google Runs Production Systems (Betsy Beyer, Chris Jones, Jennifer Petoff etc.) (Z-Library).pdf",body:distributed systems
0.350,DistributedSystems,0.238,System Design Interview Made Easy: Discover 8 Simple Case Studies to Learn How to Pass Your System Design Interview Easily,"System Design Interview Made Easy Discover 8 Simple Case Studies to Learn How to Pass Your System Design Interview Easily (Lee, Richard) (Z-Library).pdf","/Users/longtran/Documents/E-Books/System Design Interview Made Easy Discover 8 Simple Case Studies to Learn How to Pass Your System Design Interview Easily (Lee, Richard) (Z-Library).pdf",body:distributed systems
0.350,DistributedSystems,0.238,System Design on AWS (for True Epub),"System Design on AWS (Jayanth Kumar, Mandeep Singh) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/System Design on AWS (Jayanth Kumar, Mandeep Singh) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:distributed systems
0.350,DistributedSystems,0.238,Writing a scientific article: A step-by-step guide for beginners,Writing_a_scientific_article__A_step-by-step_guide_for_beginners_.pdf,/Users/longtran/Documents/E-Books/Writing_a_scientific_article__A_step-by-step_guide_for_beginners_.pdf,body:consensus
0.350,DistributedSystems,0.275,Fundamentals of Data Engineering,Fundamentals of Data Engineering (Third Early Release) (Joe Reis  Matt Housley) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Fundamentals of Data Engineering (Third Early Release) (Joe Reis  Matt Housley) (z-lib.org).pdf,body:consensus; body:distributed systems
0.350,DistributedSystems,0.288,Chaos Engineering,"Chaos Engineering System Resiliency in Practice (Casey Rosenthal, Nora Jones) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Chaos Engineering System Resiliency in Practice (Casey Rosenthal, Nora Jones) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:fault tolerance
0.350,DistributedSystems,0.288,"Effective Modern C++ 42 Specific Ways to Improve Your Use of C++11 and C++14 (Scott Meyers) (z-library.sk, 1lib.sk, z-lib.sk)","Effective Modern C++ 42 Specific Ways to Improve Your Use of C++11 and C++14 (Scott Meyers) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Effective Modern C++ 42 Specific Ways to Improve Your Use of C++11 and C++14 (Scott Meyers) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:raft
0.350,DistributedSystems,0.288,"Scott Meyers - Effective Modern C++_ 42 Specific Ways to Improve Your Use of C++11 and C++14 (2018, O'Reilly, O'Reilly Media) - libgen.li","Scott Meyers - Effective Modern C++_ 42 Specific Ways to Improve Your Use of C++11 and C++14 (2018, O'Reilly, O'Reilly Media) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Scott Meyers - Effective Modern C++_ 42 Specific Ways to Improve Your Use of C++11 and C++14 (2018, O'Reilly, O'Reilly Media) - libgen.li.pdf",body:raft
0.350,DistributedSystems,0.325,Cloud Application Architecture Patterns (for True Epub),"Kyle Brown, Bobby Woolf, Joseph Yoder - Cloud Application Architecture Patterns (2025, O’Reilly Media, Inc.) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Kyle Brown, Bobby Woolf, Joseph Yoder - Cloud Application Architecture Patterns (2025, O’Reilly Media, Inc.) - libgen.li.pdf",body:event driven architecture; body:microservices
0.350,DistributedSystems,0.325,Hadoop: The Definitive Guide,"Hadoop The Definitive Guide, 4th Edition Storage and Analysis at Internet Scale by Tom White (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Hadoop The Definitive Guide, 4th Edition Storage and Analysis at Internet Scale by Tom White (z-lib.org).pdf",body:distributed computing; body:distributed systems
0.350,DistributedSystems,0.338,Microservices Patterns With examples in Java by Chris Richardson (z-lib.org),Microservices Patterns With examples in Java by Chris Richardson (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Microservices Patterns With examples in Java by Chris Richardson (z-lib.org).pdf,body:microservices; filename:microservices
