confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Embedded-Systems,0.238,475431_1_En_Print.indd,"Recommender System for Improving Customer Loyalty (Katarzyna Tarnowska, Zbigniew W. Ras etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Recommender System for Improving Customer Loyalty (Katarzyna Tarnowska, Zbigniew W. Ras etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:embedded
0.350,Embedded-Systems,0.238,"Apache Solr for beginner’s (Serafini, Alfredo) (z-lib.org)","Apache Solr for beginner’s (Serafini, Alfredo) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Apache Solr for beginner’s (Serafini, Alfredo) (z-lib.org).pdf",body:embedded
0.350,Embedded-Systems,0.238,B01N2RKEL3 EBOK,"Boduch, Adam_ Chaffer, Jonathan_ Swedberg, Karl - Learning Jquery 3. 0.-Packt Publishing, Limited (May 2017).pdf","/Users/longtran/Documents/E-Books/Boduch, Adam_ Chaffer, Jonathan_ Swedberg, Karl - Learning Jquery 3. 0.-Packt Publishing, Limited (May 2017).pdf",body:embedded
0.350,Embedded-Systems,0.238,Building Blockchain Projects,Building Blockchain Projects Building decentralized Blockchain applications with Ethereum and Solidity by Narayan Prusty (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Building Blockchain Projects Building decentralized Blockchain applications with Ethereum and Solidity by Narayan Prusty (z-lib.org).pdf,body:embedded
0.350,Embedded-Systems,0.238,"C 10 and .NET 6 – Modern Cross-Platform Development Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF... (Mark J. Price) (z-lib.org)","C 10 and .NET 6 – Modern Cross-Platform Development Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF... (Mark J. Price) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/C 10 and .NET 6 – Modern Cross-Platform Development Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF... (Mark J. Price) (z-lib.org).pdf",body:embedded
0.350,Embedded-Systems,0.238,Domain-Driven Design Tackling Complexity in the Heart of Software by Eric Evans (z-lib.org) (1),Domain-Driven Design Tackling Complexity in the Heart of Software by Eric Evans (z-lib.org) (1).pdf,/Users/longtran/Documents/E-Books/Domain-Driven Design Tackling Complexity in the Heart of Software by Eric Evans (z-lib.org) (1).pdf,body:embedded
0.350,Embedded-Systems,0.238,Foster-Designing and Building Parallel Programs,Foster_Designing_and_Building_Parallel_Programs.pdf,/Users/longtran/Documents/E-Books/Foster_Designing_and_Building_Parallel_Programs.pdf,body:embedded
0.350,Embedded-Systems,0.238,Learning jQuery 3,"Boduch, Adam_Chaffer, Jonathan_Swedberg, Karl - Learning jQuery 3_ build interesting, interactive sites using jQuery by automating common tasks and simplifying the complicated ones-Packt Publishing (2.pdf","/Users/longtran/Documents/E-Books/Boduch, Adam_Chaffer, Jonathan_Swedberg, Karl - Learning jQuery 3_ build interesting, interactive sites using jQuery by automating common tasks and simplifying the complicated ones-Packt Publishing (2.pdf",body:embedded
0.350,Embedded-Systems,0.238,Mastering Asynchronous C++: Modern Techniques for High-Performance Concurrent Programming,"Mastering Asynchronous C++ Modern Techniques for High-Performance Concurrent Programming (Aarav Joshi) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Mastering Asynchronous C++ Modern Techniques for High-Performance Concurrent Programming (Aarav Joshi) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:embedded
0.350,Embedded-Systems,0.238,"Mastering Blockchain  a deep dive into distributed ledgers, consensus protocols, smart contracts, DApps, cryptocurrencies, Ethereum, and more by Imran Bashir (z-lib.org)","Mastering Blockchain  a deep dive into distributed ledgers, consensus protocols, smart contracts, DApps, cryptocurrencies, Ethereum, and more by Imran Bashir (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Mastering Blockchain  a deep dive into distributed ledgers, consensus protocols, smart contracts, DApps, cryptocurrencies, Ethereum, and more by Imran Bashir (z-lib.org).pdf",body:embedded
