confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Java,0.238,0321630580.pdf,"[Software Patterns Series] Mattson, Timothy G_Sanders, Beverly A_Massingill, Berna L - Patterns for parallel programming (2004_2010, Addison-Wesley Professional) - libgen.li.pdf","/Users/longtran/Documents/E-Books/[Software Patterns Series] Mattson, Timothy G_Sanders, Beverly A_Massingill, Berna L - Patterns for parallel programming (2004_2010, Addison-Wesley Professional) - libgen.li.pdf",body:java
0.350,Java,0.238,92eeed2b-7402-494b-8623-a030a3f4422c,92eeed2b-7402-494b-8623-a030a3f4422c.pdf,/Users/longtran/Documents/E-Books/92eeed2b-7402-494b-8623-a030a3f4422c.pdf,body:java
0.350,Java,0.238,Copyright,"Solr in Action (Trey Grainger, Timothy Potter) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Solr in Action (Trey Grainger, Timothy Potter) (z-lib.org).pdf",body:java
0.350,Java,0.238,Data Structures and Algorithms in Python,"Data Structures and Algorithms in Python (Michael T. Goodrich, Roberto Tamassia etc.) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Data Structures and Algorithms in Python (Michael T. Goodrich, Roberto Tamassia etc.) (z-lib.org).pdf",body:java
0.350,Java,0.238,Head First jQuery,"Head First jQuery (Ryan Benedetti, Ronan Cranley) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Head First jQuery (Ryan Benedetti, Ronan Cranley) (z-lib.org).pdf",body:java
0.350,Java,0.238,Head First jQuery,"Ryan Benedetti, Ronan Cranley - Head First jQuery  -O'Reilly Media (2011).pdf","/Users/longtran/Documents/E-Books/Ryan Benedetti, Ronan Cranley - Head First jQuery  -O'Reilly Media (2011).pdf",body:java
0.350,Java,0.238,Memory as a Programming Concept in C and C++,"Memory as a Programming Concept in C and C++ (Frantisek Franek) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Memory as a Programming Concept in C and C++ (Frantisek Franek) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:java
0.350,Java,0.238,My transcript,My transcript.pdf,/Users/longtran/Documents/E-Books/My transcript.pdf,body:java
0.350,Java,0.238,My transcript (1),My transcript (1).pdf,/Users/longtran/Documents/E-Books/My transcript (1).pdf,body:java
0.350,Java,0.238,Nonsequential and Distributed Programming with Go,"Nonsequential and Distributed Programming with Go, 2e (Christian Maurer) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Nonsequential and Distributed Programming with Go, 2e (Christian Maurer) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:java
0.350,Java,0.238,"O'Reilly - Head First Servlets and JSP, 2nd Edition","Head First Servlets and JSP Passing the Sun Certified Web Component Developer Exam (Bryan Basham, Kathy Sierra, Bert Bates) (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Head First Servlets and JSP Passing the Sun Certified Web Component Developer Exam (Bryan Basham, Kathy Sierra, Bert Bates) (z-lib.org).pdf",body:java
0.350,Java,0.238,Prometheus: Up & Running,Prometheus Up  Running Infrastructure and Application Performance Monitoring (Brian Brazil) (Z-Library).pdf,/Users/longtran/Documents/E-Books/Prometheus Up  Running Infrastructure and Application Performance Monitoring (Brian Brazil) (Z-Library).pdf,body:java
0.350,Java,0.238,Tran phan phuc Long,My-IELTS-and-Academic-Transcript.pdf,/Users/longtran/Documents/E-Books/My-IELTS-and-Academic-Transcript.pdf,body:java
0.350,Java,0.238,Transcript_record,Transcript_record.pdf,/Users/longtran/Documents/E-Books/Transcript_record.pdf,body:java
