confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Math-Algebra,0.238,A9R1i6h9j0_1xg068h_8sc.tmp,"Fuzzy Sets, Fuzzy Logic and Their Applications 2021 (Michael Voskoglou) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Fuzzy Sets, Fuzzy Logic and Their Applications 2021 (Michael Voskoglou) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:algebra
0.350,Math-Algebra,0.238,"Algorithms Illuminated (Part 1) The Basics (Tim Roughgarden) (z-library.sk, 1lib.sk, z-lib.sk)","Algorithms Illuminated (Part 1) The Basics (Tim Roughgarden) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Algorithms Illuminated (Part 1) The Basics (Tim Roughgarden) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:matrix
0.350,Math-Algebra,0.238,"Fuzzy Dual Numbers. Theory and Applications (Felix Mora-Camino, Carlos Alberto Nunes Cosenza) (z-library.sk, 1lib.sk, z-lib.sk)","Fuzzy Dual Numbers. Theory and Applications (Felix Mora-Camino, Carlos Alberto Nunes Cosenza) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Fuzzy Dual Numbers. Theory and Applications (Felix Mora-Camino, Carlos Alberto Nunes Cosenza) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:matrix
0.350,Math-Algebra,0.238,"Graph Algorithms the Fun Way Powerful Algorithms Decoded, Not Oversimplified (Jeremy Kubica) (z-library.sk, 1lib.sk, z-lib.sk)","Graph Algorithms the Fun Way Powerful Algorithms Decoded, Not Oversimplified (Jeremy Kubica) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Graph Algorithms the Fun Way Powerful Algorithms Decoded, Not Oversimplified (Jeremy Kubica) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:matrix
0.350,Math-Algebra,0.238,mcs,mcs.pdf,/Users/longtran/Documents/E-Books/mcs.pdf,body:algebra
0.350,Math-Algebra,0.238,Tran phan phuc Long,Tran-Phan-Phuc-Long.pdf,/Users/longtran/Documents/E-Books/Tran-Phan-Phuc-Long.pdf,body:algebra
0.350,Math-Algebra,0.275,"Mining of massive datasets (Leskovec J., Rajaraman A., Ullman J.D) (z-library.sk, 1lib.sk, z-lib.sk)","Mining of massive datasets (Leskovec J., Rajaraman A., Ullman J.D) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Mining of massive datasets (Leskovec J., Rajaraman A., Ullman J.D) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:algebra; body:matrix
0.350,Math-Algebra,0.275,vorlesung,vorlesung.pdf,/Users/longtran/Documents/E-Books/vorlesung.pdf,body:algebra; body:matrix
0.350,Math-Algebra,0.288,CUDA C++ Programming Guide,CUDA_C_Programming_Guide.pdf,/Users/longtran/Documents/E-Books/CUDA_C_Programming_Guide.pdf,body:matrix
0.350,Math-Algebra,0.288,DATA STRUCTURES AND ALGORITHMS IN PYTHON: Beginners and intermediate,"DATA STRUCTURES AND ALGORITHMS IN PYTHON Beginners and intermediate (Jain, Kshitij) (z-lib.org).epub.pdf","/Users/longtran/Documents/E-Books/DATA STRUCTURES AND ALGORITHMS IN PYTHON Beginners and intermediate (Jain, Kshitij) (z-lib.org).epub.pdf",body:matrix
0.350,Math-Algebra,0.288,"Digital Design, Global Edition, 6/e","Digital Design With an Introduction to the Verilog HDL, VHDL, and SystemVerilog (M. Morris Mano, Michael D. Ciletti) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Digital Design With an Introduction to the Verilog HDL, VHDL, and SystemVerilog (M. Morris Mano, Michael D. Ciletti) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:algebra
0.350,Math-Algebra,0.288,IMC-2013,IMC-2013.pdf,/Users/longtran/Documents/E-Books/IMC-2013.pdf,body:matrix
0.350,Math-Algebra,0.288,Index,"Rudin, Walter - Fourier Analysis on Groups - libgen.li.pdf","/Users/longtran/Documents/E-Books/Rudin, Walter - Fourier Analysis on Groups - libgen.li.pdf",body:algebra
0.350,Math-Algebra,0.288,Overleaf Example,basic_numpy.pdf,/Users/longtran/Documents/E-Books/basic_numpy.pdf,body:matrix
0.350,Math-Algebra,0.288,"Practical Recommender Systems (Kim Falk) (z-library.sk, 1lib.sk, z-lib.sk)","Practical Recommender Systems (Kim Falk) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Practical Recommender Systems (Kim Falk) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:matrix
0.350,Math-Algebra,0.288,"Structure and Interpretation of Computer Programs, 2nd ed.","Harold Abelson, Gerald Jay Sussman, Julie Sussman - Structure and Interpretation of Computer Programs, 2nd ed. - libgen.li.pdf","/Users/longtran/Documents/E-Books/Harold Abelson, Gerald Jay Sussman, Julie Sussman - Structure and Interpretation of Computer Programs, 2nd ed. - libgen.li.pdf",body:algebra
0.350,Math-Algebra,0.325,"I.N. Bronshtein, K.A. Semendyayev, Gerhard Musiol, Heiner Mühlig - Handbook of Mathematics (2007, Springer) - libgen.li","I.N. Bronshtein, K.A. Semendyayev, Gerhard Musiol, Heiner Mühlig - Handbook of Mathematics (2007, Springer) - libgen.li.pdf","/Users/longtran/Documents/E-Books/I.N. Bronshtein, K.A. Semendyayev, Gerhard Musiol, Heiner Mühlig - Handbook of Mathematics (2007, Springer) - libgen.li.pdf",body:algebra; body:linear algebra
