confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Math-Calculus,0.238,Basic Electronics,"Basic Electronics (Debashis De, Kamakhya Prasad Ghatak) (Z-Library).pdf","/Users/longtran/Documents/E-Books/Basic Electronics (Debashis De, Kamakhya Prasad Ghatak) (Z-Library).pdf",body:integral
0.350,Math-Calculus,0.238,Practical Electronics for Inventors (Paul Scherz) (Z-Library),Practical Electronics for Inventors (Paul Scherz) (Z-Library).pdf,/Users/longtran/Documents/E-Books/Practical Electronics for Inventors (Paul Scherz) (Z-Library).pdf,body:derivative
0.350,Math-Calculus,0.288,Hadoop: The Definitive Guide,"Hadoop The Definitive Guide, 4th Edition Storage and Analysis at Internet Scale by Tom White (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Hadoop The Definitive Guide, 4th Edition Storage and Analysis at Internet Scale by Tom White (z-lib.org).pdf",body:calculus
0.350,Math-Calculus,0.288,Inside interesting integrals,Inside interesting integrals.pdf,/Users/longtran/Documents/E-Books/Inside interesting integrals.pdf,body:integral
0.350,Math-Calculus,0.288,Mastering Ethereum: Building Smart Contracts and DApps,"Mastering Ethereum Building Smart Contracts and DApps by Andreas M. Antonopoulos, Gavin Wood Ph. D. (z-lib.org).epub (1).pdf","/Users/longtran/Documents/E-Books/Mastering Ethereum Building Smart Contracts and DApps by Andreas M. Antonopoulos, Gavin Wood Ph. D. (z-lib.org).epub (1).pdf",body:derivative
0.350,Math-Calculus,0.288,Mastering Ethereum: Building Smart Contracts and DApps,"Mastering Ethereum Building Smart Contracts and DApps by Andreas M. Antonopoulos, Gavin Wood Ph. D. (z-lib.org).epub.pdf","/Users/longtran/Documents/E-Books/Mastering Ethereum Building Smart Contracts and DApps by Andreas M. Antonopoulos, Gavin Wood Ph. D. (z-lib.org).epub.pdf",body:derivative
0.350,Math-Calculus,0.288,"Special Functions: Derivatives, Integrals, Series and Other Formulas","Handbook of Special Functions _ Derivatives, Integrals, -- Yury A_ Brychkov -- 1, PS, 2008 -- Chapman & Hall_CRC; Chapman and Hall_CRC -- 9780429145650 -- 3031632bd6f910d8622b4220e86147ad -- Anna’s Archive.pdf","/Users/longtran/Documents/E-Books/Handbook of Special Functions _ Derivatives, Integrals, -- Yury A_ Brychkov -- 1, PS, 2008 -- Chapman & Hall_CRC; Chapman and Hall_CRC -- 9780429145650 -- 3031632bd6f910d8622b4220e86147ad -- Anna’s Archive.pdf",body:integral
0.350,Math-Calculus,0.325,Complex Integration,COMPLEX INTEGRATION.pdf,/Users/longtran/Documents/E-Books/COMPLEX INTEGRATION.pdf,body:calculus; body:integral
0.350,Math-Calculus,0.325,Fuzzy Decision Analysis: Multi Attribute Decision Making Approach,"Fuzzy Decision Analysis Multi Attribute Decision Making Approach (Farhad Hosseinzadeh Lotfi, Tofigh Allahviranloo etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Fuzzy Decision Analysis Multi Attribute Decision Making Approach (Farhad Hosseinzadeh Lotfi, Tofigh Allahviranloo etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:calculus; body:integral
0.350,Math-Calculus,0.325,ML_excercises,ML_excercises.pdf,/Users/longtran/Documents/E-Books/ML_excercises.pdf,body:derivative; body:gradient
0.350,Math-Calculus,0.325,Optimization for Engineering Design Algorithms and Examples,Kalyanmoy Deb - Optimization for Engineering Design Algorithms and Examples (2012) - libgen.li.pdf,/Users/longtran/Documents/E-Books/Kalyanmoy Deb - Optimization for Engineering Design Algorithms and Examples (2012) - libgen.li.pdf,body:gradient; body:multivariable
