confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Math-Statistics,0.238,Scientific paper example I,Scientific paper example I.pdf,/Users/longtran/Documents/E-Books/Scientific paper example I.pdf,body:bayesian
0.350,Math-Statistics,0.238,Writing a scientific article: A step-by-step guide for beginners,Writing_a_scientific_article__A_step-by-step_guide_for_beginners_.pdf,/Users/longtran/Documents/E-Books/Writing_a_scientific_article__A_step-by-step_guide_for_beginners_.pdf,body:statistics
0.350,Math-Statistics,0.238,WS2025 Milestone 5 Final Submission,WS2025 Milestone 5 Final Submission.pdf,/Users/longtran/Documents/E-Books/WS2025 Milestone 5 Final Submission.pdf,body:statistics
0.350,Math-Statistics,0.288,"Differential Evolution Fundamentals and Applications in Electrical Engineering (Anyong Qing) (z-library.sk, 1lib.sk, z-lib.sk)","Differential Evolution Fundamentals and Applications in Electrical Engineering (Anyong Qing) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Differential Evolution Fundamentals and Applications in Electrical Engineering (Anyong Qing) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:stochastic
0.350,Math-Statistics,0.288,"Fuzzy Sets and Fuzzy Logic Theory and Applications (George J. Klir, Bo Yuan) (z-library.sk, 1lib.sk, z-lib.sk)","Fuzzy Sets and Fuzzy Logic Theory and Applications (George J. Klir, Bo Yuan) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Fuzzy Sets and Fuzzy Logic Theory and Applications (George J. Klir, Bo Yuan) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:probability
0.350,Math-Statistics,0.288,"Introduction to Genetic Algorithms (S.N. Sivanandam, S. N. Deepa) (z-library.sk, 1lib.sk, z-lib.sk)","Introduction to Genetic Algorithms (S.N. Sivanandam, S. N. Deepa) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Introduction to Genetic Algorithms (S.N. Sivanandam, S. N. Deepa) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:stochastic
0.350,Math-Statistics,0.288,KRPThesis,KRPThesis.pdf,/Users/longtran/Documents/E-Books/KRPThesis.pdf,body:bayesian
0.350,Math-Statistics,0.288,Linux 101 Hacks - Free eBook,"Linux 101 Hacks (Ramesh Natarajan) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Linux 101 Hacks (Ramesh Natarajan) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:statistics
0.350,Math-Statistics,0.288,PowerPoint-Präsentation,Introduction.pdf,/Users/longtran/Documents/E-Books/Introduction.pdf,body:statistics
0.350,Math-Statistics,0.288,"Recommender Systems The Textbook (Aggarwal, Charu C.) (z-library.sk, 1lib.sk, z-lib.sk)","Recommender Systems The Textbook (Aggarwal, Charu C.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Recommender Systems The Textbook (Aggarwal, Charu C.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:regression
0.350,Math-Statistics,0.288,timetable,timetable.pdf,/Users/longtran/Documents/E-Books/timetable.pdf,body:regression
0.350,Math-Statistics,0.288,timetable (1),timetable (1).pdf,/Users/longtran/Documents/E-Books/timetable (1).pdf,body:regression
0.350,Math-Statistics,0.325,425989_Print.indd,New Theory of Discriminant Analysis After R. Fisher Advanced Research by the Feature Selection Method for Microarray Data by Shuichi Shinmura (auth.) (z-lib.org).pdf,/Users/longtran/Documents/E-Books/New Theory of Discriminant Analysis After R. Fisher Advanced Research by the Feature Selection Method for Microarray Data by Shuichi Shinmura (auth.) (z-lib.org).pdf,body:bayesian; body:regression
0.350,Math-Statistics,0.325,Algorithms for Validation,algo for val.pdf,/Users/longtran/Documents/E-Books/algo for val.pdf,body:probability; body:stochastic
0.350,Math-Statistics,0.325,"Algorithms Illuminated (Part 3) (Tim Roughgarden) (z-library.sk, 1lib.sk, z-lib.sk)","Algorithms Illuminated (Part 3) (Tim Roughgarden) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Algorithms Illuminated (Part 3) (Tim Roughgarden) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:probability; body:statistics
0.350,Math-Statistics,0.325,"An Introduction to Statistical Learning with Applications in Python (Gareth James, Daniela Witten, Trevor Hastie etc.) (Z-Library)","An Introduction to Statistical Learning with Applications in Python (Gareth James, Daniela Witten, Trevor Hastie etc.) (Z-Library).pdf","/Users/longtran/Documents/E-Books/An Introduction to Statistical Learning with Applications in Python (Gareth James, Daniela Witten, Trevor Hastie etc.) (Z-Library).pdf",body:regression; body:statistics
0.350,Math-Statistics,0.325,Causal Inference in Python,"Matheus Facure - Causal Inference in Python_ Applying Causal Inference in the Tech Industry (2023, O'Reilly Media) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Matheus Facure - Causal Inference in Python_ Applying Causal Inference in the Tech Industry (2023, O'Reilly Media) - libgen.li.pdf",body:hypothesis testing; body:regression
0.350,Math-Statistics,0.325,"Computer Networking: A Top-Down Approach, 7th Edition","Computer Networking A Top-Down Approach, 7th Edition (James F. Kurose) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Computer Networking A Top-Down Approach, 7th Edition (James F. Kurose) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:probability; body:stochastic
0.350,Math-Statistics,0.325,Discriminant Function Analysis by G. David Garson (z-lib.org),Discriminant Function Analysis by G. David Garson (z-lib.org).pdf,/Users/longtran/Documents/E-Books/Discriminant Function Analysis by G. David Garson (z-lib.org).pdf,body:regression; body:statistics
0.350,Math-Statistics,0.325,Genetic Algorithm Afternoon: A Practical Guide for Software Developers,"Genetic Algorithm Afternoon A Practical Guide for Software Developers (Brownlee, Jason) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Genetic Algorithm Afternoon A Practical Guide for Software Developers (Brownlee, Jason) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:probability; body:statistics
