confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,OperatingSystems,0.238,0321617630.pdf,"Gary R. Wright, W. Richard Stevens - TCP_IP Illustrated_ The Implementation Volume 2 (1995, Addison-Wesley Professional) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Gary R. Wright, W. Richard Stevens - TCP_IP Illustrated_ The Implementation Volume 2 (1995, Addison-Wesley Professional) - libgen.li.pdf",body:unix
0.350,OperatingSystems,0.238,C Interfaces and Implementations,David R. Hanson - C Interfaces and Implementations (1996) - libgen.li.pdf,/Users/longtran/Documents/E-Books/David R. Hanson - C Interfaces and Implementations (1996) - libgen.li.pdf,body:unix
0.350,OperatingSystems,0.238,Kafka: The Definitive Guide,"Kafka The Definitive Guide Real-Time Data and Stream Processing at Scale by Neha Narkhede, Gwen Shapira, Todd Palino (z-lib.org).pdf","/Users/longtran/Documents/E-Books/Kafka The Definitive Guide Real-Time Data and Stream Processing at Scale by Neha Narkhede, Gwen Shapira, Todd Palino (z-lib.org).pdf",body:operating system
0.350,OperatingSystems,0.238,"Linux Firewalls Attack Detection and Response with IPTables, PSAD, and FWSnort","Linux Firewalls Attack Detection and Response with iptables, psad, and fwsnort (Rash, Michael) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Linux Firewalls Attack Detection and Response with iptables, psad, and fwsnort (Rash, Michael) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:linux kernel
0.350,OperatingSystems,0.238,"Linux Firewalls Attack Detection and Response with iptables, psad, and fwsnort (Michael Rash) (z-library.sk, 1lib.sk, z-lib.sk)","Linux Firewalls Attack Detection and Response with iptables, psad, and fwsnort (Michael Rash) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Linux Firewalls Attack Detection and Response with iptables, psad, and fwsnort (Michael Rash) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:linux kernel
0.350,OperatingSystems,0.238,parrel_computing_book_openmp_and_mpi,parrel_computing_book_openmp_and_mpi.pdf,/Users/longtran/Documents/E-Books/parrel_computing_book_openmp_and_mpi.pdf,body:virtual memory
0.350,OperatingSystems,0.275,A. Edwards - Let’s Go. Learn to build professional web applications with Go (2nd Edition)(2023)[EN],"Let’s Go. Learn to build professional web applications with Go (A. Edwards) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Let’s Go. Learn to build professional web applications with Go (A. Edwards) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:operating system; body:unix
0.350,OperatingSystems,0.288,bash Cookbook,"Bash Cookbook Solutions and Examples for Bash Users (Albing, CarlVossen, J PNewham, Cameron) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Bash Cookbook Solutions and Examples for Bash Users (Albing, CarlVossen, J PNewham, Cameron) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:unix
0.350,OperatingSystems,0.288,Chapter2,Chapter2.pdf,/Users/longtran/Documents/E-Books/Chapter2.pdf,body:unix
0.350,OperatingSystems,0.288,"Compiler Design in C (Allen I. Holub) (z-library.sk, 1lib.sk, z-lib.sk)","Compiler Design in C (Allen I. Holub) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Compiler Design in C (Allen I. Holub) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:unix
