confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,Other,0.050,0132180146.pdf,"CUDA by Example An Introduction to General-Purpose GPU Programming (Jason Sanders,Edward Kandrot) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/CUDA by Example An Introduction to General-Purpose GPU Programming (Jason Sanders,Edward Kandrot) (z-library.sk, 1lib.sk, z-lib.sk).pdf",
0.350,Other,0.050,1+ZUKUNFT+IM+PRÄSENS,1+ZUKUNFT+IM+PRÄSENS.pdf,/Users/longtran/Documents/E-Books/German Language/1+ZUKUNFT+IM+PRÄSENS.pdf,
0.350,Other,0.050,1+ZUKUNFT+IM+PRÄSENS (1),1+ZUKUNFT+IM+PRÄSENS (1).pdf,/Users/longtran/Documents/E-Books/German Language/1+ZUKUNFT+IM+PRÄSENS (1).pdf,
0.350,Other,0.050,100 C++ Mistakes and How to Avoid Them,"100 C++ Mistakes and How to Avoid Them (Rich Yonts) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/100 C++ Mistakes and How to Avoid Them (Rich Yonts) (z-library.sk, 1lib.sk, z-lib.sk).pdf",
0.350,Other,0.050,100 Go Mistakes and How to Avoid Them,100 Go Mistakes and How to Avoid Them -- Teiva Harsanyi -- 2023 -- Manning Publications Co_ LLC -- 9781617299599 -- 9374eab87c499716f83789de5e1a5c93 -- Anna’s Archive.pdf,/Users/longtran/Documents/E-Books/100 Go Mistakes and How to Avoid Them -- Teiva Harsanyi -- 2023 -- Manning Publications Co_ LLC -- 9781617299599 -- 9374eab87c499716f83789de5e1a5c93 -- Anna’s Archive.pdf,
0.350,Other,0.050,15124_Tran Phan Phuc Long_CS_2018,15124_Tran Phan Phuc Long_CS_2018.pdf,/Users/longtran/Documents/E-Books/15124_Tran Phan Phuc Long_CS_2018.pdf,
0.350,Other,0.050,15124_Tran Phan Phuc Long_CS_2018 (1),15124_Tran Phan Phuc Long_CS_2018 (1).pdf,/Users/longtran/Documents/E-Books/15124_Tran Phan Phuc Long_CS_2018 (1).pdf,
0.350,Other,0.050,15124_Tran Phan Phuc Long_CS_2018 (2),15124_Tran Phan Phuc Long_CS_2018 (2).pdf,/Users/longtran/Documents/E-Books/15124_Tran Phan Phuc Long_CS_2018 (2).pdf,
0.350,Other,0.050,18+PRONOMEN+I,18+PRONOMEN+I.pdf,/Users/longtran/Documents/E-Books/German Language/18+PRONOMEN+I.pdf,
0.350,Other,0.050,1_2+TEMPORALANGABEN+ZUKUNFT,1_2+TEMPORALANGABEN+ZUKUNFT.pdf,/Users/longtran/Documents/E-Books/German Language/1_2+TEMPORALANGABEN+ZUKUNFT.pdf,
